idmesa,codimesa,mesatancada,comarca,vnuls,vblancs,verc,vjxc,vcup,vpsc,vcs,vppc,vcom,vpacma,vdialeg,vpumjust,vrecortes,vfamilia,vdn,vpfiv,vconver,vunidos,vcilus,cens,acta,hihavots,hihaacta,origen,datetime,user,mesavalidada,mesacorrecte
2080,0801509014B,1,BARCELONES,4,0,49,19,9,95,210,79,46,7,0,0,1,0,0,0,0,0,0,619,2080-1516779826-b65d607c3c2f1acafc65a62385d6082f-c60490c51504cbcad0cbc823bc6cce6d.jpg,1,1,CDR,2018-01-24 11:14:09,barcelon01,1,1
2081,0801509015A,1,BARCELONES,1,3,36,12,6,71,137,39,27,4,,,2,,,,,,,498,2081-ce6b477f-4d9b-4126-b7d7-c9e675ec72bb.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2082,0801509015B,1,BARCELONES,2,2,43,15,10,86,173,65,45,14,,,1,,,,,,,611,2082-16bfdedb-900b-4d1e-9d37-3d84e325a70b.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2083,0801509016A,1,BARCELONES,,1,62,24,8,96,188,44,35,4,,,1,,,,,,,576,2083-5c935c0d-3b7a-4188-967e-c3fec76c6ec3.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2084,0801509016B,1,BARCELONES,2,,53,15,17,100,198,49,44,11,,,4,,,,,,,618,2084-e5d3e29f-b815-4375-a9f8-ac95ed5bc993.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
2085,0801509017U,1,BARCELONES,,4,59,25,12,84,248,89,49,14,,,,,,,,,,875,2085-1516779826-fbaefcc2b06708ba22681fa2a3d548d8-4643f0e532094ebdf93cdf1d9c774a62.jpg,1,1,CDR,2018-01-24 08:43:46,admin,1,1
2086,0801509018A,1,BARCELONES,4,2,52,24,14,92,152,40,59,9,0,0,0,0,0,0,0,0,0,626,2086-1516779826-028e18a72df8ddb1a015d30cc843825f-6b22ba136865b362c8a44c8062847a63.jpg,1,1,CDR,2018-01-24 11:14:59,barcelon01,1,1
2087,0801509018B,1,BARCELONES,3,2,65,25,12,104,184,59,41,3,0,0,1,0,0,0,0,0,0,672,2087-1516779826-b47b908e599828de5f70dbc5420d4a16-cc6ea8e1a8be8a586060dd69995f4885.jpg,1,1,CDR,2018-01-24 11:16:02,barcelon01,1,1
2088,0801509019U,1,BARCELONES,5,2,76,36,13,108,194,78,52,7,0,0,2,0,0,0,0,0,0,771,2088-1516779826-d083e6e36f323ea5b095f451706f9ba8-c238edd7e4ee6fda6c6032c73fbe69a5.jpg,1,1,CDR,2018-01-24 11:16:52,barcelon01,1,1
2089,0801509020U,1,BARCELONES,1,1,59,23,4,87,175,42,43,6,0,0,2,0,0,0,0,0,0,522,2089-1516779826-558df4c45a38285be2b0fd276eac2a66-c9f353ee4a484e2b3d23e42366f09af7.jpg,1,1,CDR,2018-01-24 11:17:49,barcelon01,1,1
