idmesa,codimesa,mesatancada,comarca,vnuls,vblancs,verc,vjxc,vcup,vpsc,vcs,vppc,vcom,vpacma,vdialeg,vpumjust,vrecortes,vfamilia,vdn,vpfiv,vconver,vunidos,vcilus,cens,acta,hihavots,hihaacta,origen,datetime,user,mesavalidada,mesacorrecte
2,1700101001U,1,ALT EMPORDA,4,6,168,161,37,26,63,7,16,6,,,,,,,,,,591,0002-2f4ec7c0-faff-4a57-9dd3-bd97e4328d9a.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
3,1700301001U,1,ALT EMPORDA,,,19,44,13,1,,2,1,1,,,,,,,,,,94,0003-1454e3fd-f260-47f2-a124-18ccb9253e08.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
4,1701101001U,1,ALT EMPORDA,2,7,156,280,40,33,48,3,9,1,,,,,,,,,,644,0004-8d08be75-515d-4aa3-a385-ddbd0c5c48d3.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
5,1701201001A,1,ALT EMPORDA,2,4,123,157,12,34,131,6,20,4,,,,,,,,,,598,0005-2910435e-e686-408f-a2ba-0527239300ca.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
6,1701201001B,1,ALT EMPORDA,,2,132,137,18,24,115,11,17,,,,1,,,,,,,549,0006-4efbd6d0-2a5c-4f70-8b19-e6fd2e93378a.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
7,1701601001U,1,ALT EMPORDA,,1,168,293,54,28,60,20,15,2,,1,,,,,,,,731,0007-6945729a-b03f-4fe9-8f00-b30f1ae9cf72.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
8,1723401001U,1,ALT EMPORDA,1,1,44,40,10,14,34,4,7,1,,,,,,,,,,180,0008-0e2b053b-e38a-43c5-8986-4999f4b0ab5a.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
9,1702901001U,1,ALT EMPORDA,2,2,49,59,15,8,27,3,8,,,,,,,,,,,205,0009-ffc0808e-33e6-48ee-95ec-f07094db2032.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
10,1702601001U,1,ALT EMPORDA,1,,98,258,19,17,65,7,10,2,,,,,,,,,,537,0010-caff005e-15b6-4f4f-9dd5-d92928dafa0e.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
11,1703101001U,1,ALT EMPORDA,,,33,70,26,2,11,5,3,1,,1,0,,,,,,,186,0011-c88160df-93e6-4ca2-98dc-e8de71358fff.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
12,1703001001U,1,ALT EMPORDA,4,1,98,187,30,36,122,24,13,3,,,1,,,,,,,628,0012-be7f39fe-0968-4aae-9872-9ecc473d3ffa.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
13,1703201001A,1,ALT EMPORDA,1,3,183,259,28,55,80,2,35,5,,,,,,,,,,864,0013-4279b029-1069-4ada-8837-e0b9914a4a2b.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
14,1703201001B,1,ALT EMPORDA,3,4,183,239,33,56,88,11,34,4,,,1,,,,,,,891,0014-0e7bdd43-7952-4801-985d-94411990d58e.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
15,1704101001U,1,ALT EMPORDA,,2,73,56,12,13,15,4,10,1,,,,,,,,,,226,0015-49c77893-3c1b-4564-be54-e5a660c61f93.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
16,1704201001U,1,ALT EMPORDA,1,,87,157,13,16,49,6,13,1,,,,,,,,,,417,0016-75959d7a-078a-4d8a-80d2-6c2cb5e5a108.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
17,1704701001A,1,ALT EMPORDA,1,,115,154,20,36,155,17,16,3,,1,,,,,,,,652,0017-1515435648-16c143abada36a886493c8084568bc4f-cb03c49211a39537583afe3b32074c11.jpg,1,1,CDR,2018-01-08 19:20:48,altempor01,1,1
18,1704701001B,1,ALT EMPORDA,3,2,138,137,20,33,159,21,22,4,,,1,,,,,,,677,0018-1516144012-2cc153ef733fc9e66506572ba62aac6a-aed55bbc4004b7d0bd65ddd2f1695327.jpg,1,1,CDR,2018-01-17 00:06:52,altempor01,1,1
19,1704701002A,1,ALT EMPORDA,1,1,120,234,29,41,91,10,17,5,,1,1,,,,,,,642,0019-1516144024-e3f7cbfbb408c0be7d8dbb09e9a6c552-a4d3a612313875660e7a89dff5fe073e.jpg,1,1,CDR,2018-01-17 00:07:04,altempor01,1,1
20,1704701002B,1,ALT EMPORDA,2,3,113,170,28,41,87,15,16,1,,,1,,,,,,,591,0020-1515435629-239326318374ae1fb476ee7aebd69f40-4033ca1b08d96b36d8dd80862dd1e796.jpg,1,1,CDR,2018-01-08 19:20:29,altempor01,1,1
21,1704701003A,1,ALT EMPORDA,1,1,83,108,13,39,129,35,13,6,,,,,,,,,,590,0021-b9e1e048-b243-4524-8f97-ec7b778c4bd5.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
22,1704701003B,1,ALT EMPORDA,5,2,64,95,8,34,143,34,10,3,,,1,,,,,,,600,0022-1515435671-db993884bfba45b227baba96db9c97e8-8516e16b215917eac59748089fbcf31a.jpg,1,1,CDR,2018-01-08 19:21:11,altempor01,1,1
23,1704701004A,1,ALT EMPORDA,1,3,55,80,14,50,148,22,21,4,,,,,,,,,,612,0023-1515435697-64c2d778b563e8fd6d6990158f8d4261-6931d207442167b20915d2fdd236d07e.jpg,1,1,CDR,2018-01-08 19:21:37,altempor01,1,1
24,1704701004B,1,ALT EMPORDA,2,,43,62,10,40,157,19,23,5,,,,,,,,,,532,0024-1516144038-15d453dc5600b139f5ce0ddf855028f9-8dd08b00138e1c314b638fbca1c39575.jpg,1,1,CDR,2018-01-17 00:07:18,altempor01,1,1
25,1705101001U,1,ALT EMPORDA,,1,42,101,18,10,14,6,2,,,1,,,,,,,,218,0025-cdc83353-24f7-4bb7-84e0-ca4be6bd8714.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
26,1705401001U,1,ALT EMPORDA,,,81,106,15,16,55,3,12,2,,,,,,,,,,358,0026-ec316840-14ed-437e-beb0-cb520fbb05bc.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
27,1706001001U,1,ALT EMPORDA,2,1,105,111,24,22,57,20,10,1,,,,,,,,,,422,0027-e6f26a46-a2cd-435e-8948-9b35901f68c4.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
28,1706201001U,1,ALT EMPORDA,,,127,278,41,54,72,7,19,3,,,2,,,,,,,792,0028-a2c8f88a-6a28-4c88-8149-78eb8bf8d5a1.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
29,1706201002A,1,ALT EMPORDA,5,3,141,236,36,58,167,20,20,4,,,1,,,,,,,895,0029-f49e0fbf-e797-42ee-a6eb-99f86826bdf2.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
30,1706201002B,1,ALT EMPORDA,8,,131,230,27,62,156,16,25,2,,,2,,,,,,,858,0030-1515712002-abccf24a17b8a017593a60d4432b7901-0b72a667093fe78eb344aa1d3697334b.jpg,1,1,CDR,2018-01-12 00:06:42,altempor01,1,1
31,1706201003A,1,ALT EMPORDA,,1,110,194,39,38,87,9,25,4,,,1,,,,,,,603,0031-1515699006-30aa7eef2195e09ce1f45c6b42578f32-e2adfd8812643c1464461090d776a4d6.jpg,1,1,CDR,2018-01-11 23:40:09,admin,1,1
32,1706201003B,1,ALT EMPORDA,1,1,102,217,31,37,50,6,17,3,,0,1,,,,,,,569,0032-1515699129-9b1bea614eca2039d90ba48aab680bc7-5349e51bc4df8f2149375c0b7c3dafec.jpg,1,1,CDR,2018-01-11 20:32:09,altempor01,1,1
33,1706201004A,1,ALT EMPORDA,3,4,87,137,22,53,132,19,14,1,,1,1,,,,,,,607,0033-887a79cd-0089-4152-9db9-1ad51fefd487.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
34,1706201004B,1,ALT EMPORDA,,3,80,118,20,51,128,11,18,5,,,,,,,,,,521,0034-64cb3d68-2fd8-43f2-8ecd-1ce220a52dd7.jpg,1,1,ANC,2017-12-31 10:01:15,,1,0
35,1706201005A,1,ALT EMPORDA,3,2,93,155,23,38,88,15,16,2,,,1,,,,,,,585,0035-294a62fd-c37a-451d-9aa4-3cb5423ddfd1.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
36,1706201005B,1,ALT EMPORDA,7,1,83,148,28,29,107,11,15,2,,,,,,,,,,564,0036-955658d2-ff07-4e1e-b113-c4463b249f32.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
37,1706401001U,1,ALT EMPORDA,4,1,68,104,27,31,46,10,6,1,,,,,,,,,,327,0037-a14c8877-0ddd-4540-8cb1-0499db82db62.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
38,1700501001U,1,ALT EMPORDA,2,1,98,129,10,21,54,17,17,,,,,,,,,,,428,0038-b8711095-4a32-4c59-b9f7-9ebadd898fb5.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
39,1706601001U,1,ALT EMPORDA,1,4,120,176,19,41,133,23,18,2,,,1,,,,,,,698,0039-1248b549-2c3a-4002-9e58-2aa2dc50f62a.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
40,1706601003A,1,ALT EMPORDA,4,4,137,179,40,70,212,35,20,8,,,,,,,,,,906,0040-1516182344-a56dff4ca903692ad3f78691532c07b9-c8dcbf1d1125d051e05806282dbc565c.jpg,1,1,CDR,2018-01-17 10:45:44,altempor01,1,1
41,1706601003B,1,ALT EMPORDA,3,7,118,192,38,75,174,17,29,8,,1,2,,,,,,,840,0041-66f01497-d13d-44fe-966d-c5bac387914e.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
42,1706601004U,0,ALT EMPORDA,4,5,102,135,20,58,193,41,37,8,,1,,,,,,,,805,,1,0,ANC,2017-12-31 10:01:15,,1,1
43,1706601005U,1,ALT EMPORDA,9,,39,36,12,58,127,75,13,7,,,,,,,,,,822,0043-b1d99e57-a1bd-4324-8689-51bee7660cb0.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
44,1706601006A,1,ALT EMPORDA,7,4,55,53,7,67,189,45,21,3,,,,,,,,,,763,0044-1516779826-de4cc058c0e38c0ecc47a75f11352543-5c2752355eb42f7bf0a45aaf3aa637b8.jpg,1,1,CDR,2018-01-24 08:43:46,admin,1,1
45,1706601006B,0,ALT EMPORDA,3,1,73,58,11,60,214,27,13,5,,,2,,,,,,,656,,1,0,ANC,2017-12-31 10:01:15,,1,1
46,1706601007U,0,ALT EMPORDA,9,6,155,132,28,76,303,48,26,8,,1,3,,,,,,,1084,,1,0,ANC,2017-12-31 10:01:15,,1,1
47,1706601008U,1,ALT EMPORDA,1,3,71,108,8,33,154,27,23,4,,1,,,,,,,,603,0047-1516182463-cf05f54f9a4a5e48d7e26ae6b7d4b39f-a5f1644858f79c25e8836400c57520a0.jpg,1,1,CDR,2018-01-17 10:47:43,altempor01,1,1
48,1706602001U,1,ALT EMPORDA,1,1,85,99,18,20,69,22,12,1,,,,,,,,,,467,0048-1517605744-b67f3297b3a66f927504e05487cd7b6a-e99a0078968017abd6490f0c0c6dfc6f.jpg,1,1,CDR,2018-02-02 22:09:04,admin,1,1
49,1706602002U,1,ALT EMPORDA,,5,158,180,29,59,184,41,33,9,,,1,,,,,,,967,0049-d21750eb-046d-4dd4-a0ea-d166fc6d65a2.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
50,1706602004A,1,ALT EMPORDA,3,3,131,131,23,63,164,17,26,5,,2,,,,,,,,783,0050-b590a275-f5da-4e37-a914-198b01f87af9.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
51,1706602004B,1,ALT EMPORDA,,5,107,131,25,53,160,30,23,6,,,1,,,,,,,701,0051-a7d11ab3-8503-4ac8-9550-278b63b8499f.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
52,1706602005U,1,ALT EMPORDA,,2,76,124,32,37,85,17,18,,,,3,,,,,,,544,0052-75ce258d-e3af-477b-aa98-4bd4e8a4b4fa.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
53,1706603001U,1,ALT EMPORDA,7,2,102,138,23,47,92,27,14,1,,,1,,,,,,,634,0053-1516182517-7891d7fee766282640acd8ec686603e3-79a57f6790372c3bd2b8cf81454ffbfe.jpg,1,1,CDR,2018-01-17 10:48:37,altempor01,1,1
54,1706603002A,1,ALT EMPORDA,3,4,114,195,30,39,141,24,28,8,,,1,,,,,,,809,0054-36f894e1-faee-48e8-bea6-3e6dadf6e2e7.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
55,1706603002B,1,ALT EMPORDA,1,5,80,99,9,24,103,11,15,2,,,2,,,,,,,438,0055-1517605745-59b6f5afe0a2e2ca008fcc81671cd7cc-8012c74c73b24a47e82a0dfffa47a9f5.jpg,1,1,CDR,2018-02-02 22:09:05,admin,1,1
56,1706601002U,1,ALT EMPORDA,2,3,114,189,36,55,230,39,23,2,,,2,,,,,,,848,0056-95406baa-ab96-47eb-a800-ec0cb601bfc9.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
57,1706602003U,1,ALT EMPORDA,2,2,136,196,41,63,171,16,24,9,,,,,,,,,,799,0057-79e8605f-19dd-459e-a180-f97bfdb143b8.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
58,1706603003A,1,ALT EMPORDA,3,6,147,144,21,79,200,22,24,6,,1,,,,,,,,827,0058-979a7747-6e2c-4905-b5a1-e5d063db8bd6.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
59,1706603003B,1,ALT EMPORDA,4,6,107,136,16,57,185,15,27,5,,,1,,,,,,,739,0059-94fbd9f3-b9a4-4d4b-b514-40d8228c5db9.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
60,1706603004U,1,ALT EMPORDA,13,2,37,42,8,91,298,27,10,1,,1,,,,,,,,803,0060-fcdd8fb5-e459-48c7-a77b-8207aca4863c.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
61,1706603005A,1,ALT EMPORDA,1,2,150,206,30,74,154,34,23,2,,1,2,,,,,,,892,0061-1516182582-f7e9edbd6a2d2e1f44961c39dd342e55-c947ab69a3dec99697b797963004ed64.jpg,1,1,CDR,2018-01-17 10:49:42,altempor01,1,1
62,1706603005B,1,ALT EMPORDA,1,5,145,176,28,61,143,24,18,6,,,,,,,,,,792,0062-1516182604-a04e791006370585964240717e811a48-28f0fa12e6c81c2ea1cd65925ff733c0.jpg,1,1,CDR,2018-01-17 10:50:04,altempor01,1,1
63,1706604001U,1,ALT EMPORDA,3,6,130,225,37,52,138,23,17,1,,,1,,,,,,,903,0063-53f9dae5-50d4-4b4b-9449-97ea471acd7b.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
64,1706604002A,1,ALT EMPORDA,1,5,120,208,22,44,107,25,13,4,,1,,,,,,,,692,0064-4557b386-9b0f-4633-8674-999e2282b5bb.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
65,1706604002B,1,ALT EMPORDA,4,4,119,138,21,46,105,17,17,3,,,,,,,,,,616,0065-a36ed1fc-a927-4ede-b6f5-5d1b8f6ec702.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
66,1706604003A,1,ALT EMPORDA,5,1,126,163,18,35,122,27,14,4,,1,2,,,,,,,692,0066-3de0d3d3-5be7-4b9a-a93a-017c6d76a55e.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
67,1706604003B,1,ALT EMPORDA,,5,111,153,25,44,120,32,20,5,,1,,,,,,,,708,0067-2ceefe62-cf1b-44f8-b687-d6657f8ddb87.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
68,1706604004A,1,ALT EMPORDA,4,1,171,163,33,72,151,25,23,5,,1,,,,,,,,808,0068-50eb0a3c-5ffc-4d51-8889-e23392c54456.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
69,1706604004B,1,ALT EMPORDA,2,4,161,233,30,62,165,33,27,7,,1,,,,,,,,925,0069-1516779826-39a35f524f8d3bc99376e85c2de31aab-0e5a4469dbfe64f799054ea0393bda9c.jpg,1,1,CDR,2018-01-24 08:43:46,admin,1,1
70,1706604005U,1,ALT EMPORDA,6,2,161,184,26,86,201,42,25,4,,,2,,,,,,,1089,0070-1516779826-f137432868b2f38cc29bf98ffb8061aa-cca943df0adeb19b6a87e6d1ffb2929b.jpg,1,1,CDR,2018-01-24 08:43:46,admin,1,1
71,1706604007U,1,ALT EMPORDA,,1,116,125,20,74,183,32,40,2,,1,,,,,,,,718,0071-3d7e83a8-86b3-48b5-bb68-1066aca7cae0.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
72,1706604008U,1,ALT EMPORDA,2,,121,117,11,56,226,31,32,4,,,1,,,,,,,761,0072-1516182709-354cb78b57079030e0e3da6b3ce24eb6-05a2f0f8b62f1bf8d02c5b4726fd8f1b.jpg,1,1,CDR,2018-01-17 10:51:49,altempor01,1,1
73,1706604009U,0,ALT EMPORDA,4,2,172,232,21,74,252,32,32,8,,,2,,,,,,,997,,1,0,ANC,2017-12-31 10:01:15,,1,1
74,1707401001U,1,ALT EMPORDA,1,5,124,138,28,38,81,13,15,1,,,2,,,,,,,527,0074-e6b72fd8-2874-4d0e-9ba2-a37739b0b4dc.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
75,1707501001U,1,ALT EMPORDA,2,0,86,115,33,9,27,5,7,1,,0,1,,,,,,,327,0075-3e3fb428-c4c3-43b4-80c2-310835fcd173.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
76,1707701001U,1,ALT EMPORDA,0,0,110,184,21,39,83,12,19,5,,0,1,,,,,,,549,0076-a965c87b-f234-4fee-a9ba-237627f11d65.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
77,1708601001A,1,ALT EMPORDA,1,1,81,103,17,32,126,21,10,1,,,,,,,,,,517,0077-35fc6052-7ee3-4473-b41b-47699ef0312c.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
78,1708601001B,1,ALT EMPORDA,4,3,82,75,8,50,131,26,25,3,,1,3,,,,,,,534,0078-557fa06b-119e-4b6b-8010-a52f3385288b.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
79,1708601002U,1,ALT EMPORDA,7,3,106,110,14,47,195,18,21,4,,1,,,,,,,,672,0079-854aa7c9-1879-424d-b49b-b98d4bc243b7.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
80,1708801001U,1,ALT EMPORDA,0,2,188,188,31,17,34,10,20,1,,0,2,,,,,,,554,0080-8afac0d1-6653-4dbf-acf4-b65040293742.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
81,1709101001U,1,ALT EMPORDA,1,3,71,205,15,8,26,4,5,,,,,,,,,,,400,0081-a3a3473c-df67-4632-a2f6-b6faedcc5354.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
82,1709201001A,1,ALT EMPORDA,1,3,130,144,19,32,41,7,17,5,,0,2,,,,,,,497,0082-1516145811-6d27e7a25950f799f9865f592814cbc3-afd3e95424e707603252efaa3aed1a2e.jpg,1,1,CDR,2018-01-17 00:36:51,altempor01,1,1
83,1709201001B,1,ALT EMPORDA,3,1,137,160,19,24,51,5,14,4,,0,1,,,,,,,500,0083-1516145876-719b6dd3e0a0bd166d110cf9e805b066-b45dff07cb9e6e6dbad4cfd51ae9580e.jpg,1,1,CDR,2018-01-17 00:37:56,altempor01,1,1
84,1709201002A,1,ALT EMPORDA,5,5,188,183,22,82,162,18,24,6,,2,0,,,,,,,832,0084-1516145895-0eb16293a1d1bc38d6c89d8bbc20943b-eece78ae162bf3d034fed23382eac1d8.jpg,1,1,CDR,2018-01-17 00:38:15,altempor01,1,1
85,1709201002B,1,ALT EMPORDA,2,3,162,179,25,87,143,22,21,5,,0,1,,,,,,,802,0085-1516815498-fcf74ed8f29a6aa03444597b88c55ae7-fb8f88abb06cb373195f9e4d6e53a6b0.jpg,1,1,CDR,2018-01-24 18:38:18,admin,1,1
86,1709201003U,1,ALT EMPORDA,4,3,165,175,27,86,157,28,27,9,,1,0,,,,,,,846,0086-1516183188-dd90e5f988ddbbdb9d8f5acc0f9f2ebe-006c3ecaa48b9c3e8f4d8fdb1b17838b.jpg,1,1,CDR,2018-01-17 10:59:48,altempor01,1,1
87,1710001001U,1,ALT EMPORDA,4,2,33,86,11,5,15,1,1,0,,0,2,,,,,,,192,0087-1516815498-adc8cd780ef12146888443441608d7c8-9aa2249f1468fb8bfae5e60c560de1a4.jpg,1,1,CDR,2018-01-24 18:38:18,admin,1,1
88,1710601001U,1,ALT EMPORDA,,,47,49,8,4,7,2,4,,,,,,,,,,,137,0088-72dbba70-8a1a-476d-a211-ce7acbf97d81.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
89,1711101001U,1,ALT EMPORDA,1,11,174,369,70,29,83,13,21,2,,,1,,,,,,,895,0089-d4c45226-ef72-49ea-b179-958e10dc1295.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
90,1711501001U,1,ALT EMPORDA,,2,67,113,18,8,26,7,3,,,,,,,,,,,278,0090-a855025a-5747-488e-b990-bf6efa9480eb.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
91,1711901001U,1,ALT EMPORDA,1,,22,21,7,8,2,,7,,,,,,,,,,,79,0091-9b38c65d-0829-4638-9e7e-c674d578ac97.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
92,1712001001U,1,ALT EMPORDA,10,1,170,229,21,48,141,13,15,9,,,,,,,,,,803,0092-acf5808b-e93b-4c7b-8546-b94fe8914656.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
93,1712801001U,1,ALT EMPORDA,1,2,69,115,18,15,36,3,7,3,,0,0,,,,,,,305,0093-1516985238-4c8a59b1489905fbfba5ae259ae5b399-14fc7c7651e9839673080844ca546362.jpg,1,1,CDR,2018-01-26 17:47:18,altempor01,1,1
94,1712901001U,1,ALT EMPORDA,,1,32,45,7,1,26,10,3,,,,,,,,,,,143,0094-0be02bc4-00e3-4d38-b6e8-39b5883d9df7.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
95,1713201001A,1,ALT EMPORDA,,2,116,231,22,32,70,10,15,2,,,1,,,,,,,589,0095-5237a209-3b41-4c99-be91-253e665154a3.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
96,1713201001B,1,ALT EMPORDA,2,4,116,194,16,31,75,6,20,1,,1,,,,,,,,546,0096-944aa97d-dd69-45b4-85df-dc0beb380174.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
97,1713201001C,1,ALT EMPORDA,1,3,37,97,11,9,22,4,1,1,,,,,,,,,,212,0097-4a6b24fc-83fb-4cfa-a39c-862981e236f5.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
98,1713501001U,1,ALT EMPORDA,5,,98,107,12,21,68,13,12,1,,,,,,,,,,384,0098-2ced9e87-dc8a-4367-be93-fa648a81e225.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
99,1713601001U,1,ALT EMPORDA,2,,28,57,17,6,16,6,14,1,,,,,,,,,,178,0099-e1a783d3-af29-4e69-8386-a280e191c4f4.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
100,1714001001U,1,ALT EMPORDA,1,1,106,282,32,38,73,15,17,2,,2,1,,,,,,,666,0100-11518210-a451-42f1-af5d-b4d149fe0d38.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
101,1713801001A,1,ALT EMPORDA,5,1,72,78,14,66,82,10,22,9,,1,0,,,,,,,445,0101-1516318824-f22d0e9d809d05356e9afda75076e023-4f8c7d4054a258de5a5b99327e25e28f.jpg,1,1,CDR,2018-01-19 00:40:24,altempor01,1,1
102,1713801001B,1,ALT EMPORDA,1,0,96,71,12,47,81,16,14,2,,0,0,,,,,,,432,0102-1516318846-1d65820bd6f45805faddd46a6ca9cc25-079c25b18cc16071b4a894c9387c0fe1.jpg,1,1,CDR,2018-01-19 00:40:46,altempor01,1,1
103,1714301001U,1,ALT EMPORDA,,,39,51,9,5,11,,8,,,,,,,,,,,143,0103-939019b9-dcfc-4c9c-bfdc-b34bb9535302.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
104,1715101001U,1,ALT EMPORDA,0,0,54,59,11,7,18,7,1,0,,0,0,,,,,,,183,0104-1516996505-ccfe5fabfe90b412905fc4cbf42b16c1-661a655f896525571545aff9d566c743.jpg,1,1,CDR,2018-01-26 20:55:05,altempor01,1,1
105,1715201001A,1,ALT EMPORDA,4,1,74,80,12,63,127,28,22,3,,1,0,,,,,,,599,0105-1516815497-6a21693460fa92bda83f57237a5cd832-19c1cbcb65e57cca80d13db990a1f910.jpg,1,1,CDR,2018-01-24 18:38:17,admin,1,1
106,1715201001B,1,ALT EMPORDA,1,3,81,94,14,36,106,20,22,2,,0,0,,,,,,,512,0106-1516975370-3852ab90a26f4f2e3ea06296c7939358-86e55919b03a9226336b9bcdee0711f1.jpg,1,1,CDR,2018-01-26 15:02:50,altempor01,1,1
107,1715201002A,1,ALT EMPORDA,0,5,56,59,10,51,153,23,13,3,,0,0,,,,,,,491,0107-1516975396-be923bd9d0be08fa310fa8e8c6b5be4a-f864cbd426886a2b567f2d342b8ae22a.jpg,1,1,CDR,2018-01-26 15:03:16,altempor01,1,1
108,1715201002B,1,ALT EMPORDA,1,1,78,57,4,47,213,18,16,5,,1,1,,,,,,,571,0108-1516975421-53eb5291082bfb9699dd4d24915bd7a4-f8a836fa8a815c2363fbe165236c9d7b.jpg,1,1,CDR,2018-01-26 15:03:41,altempor01,1,1
109,1715201003A,1,ALT EMPORDA,3,1,48,67,5,13,108,14,15,2,,,1,,,,,,,477,0109-4ba163f8-079f-4ec3-ad7b-798e6b46749b.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
110,1715201003B,1,ALT EMPORDA,1,0,31,62,6,21,85,20,10,2,,1,0,,,,,,,377,0110-4204d46c-277d-42a6-9286-2d6bda6c8464.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
111,1715201004A,1,ALT EMPORDA,,4,67,56,4,60,225,21,12,5,,1,,,,,,,,576,0111-e169297d-3a6e-4bbd-95c8-44779df7578c.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
112,1715201004B,1,ALT EMPORDA,0,5,56,57,8,43,243,22,9,7,,0,0,,,,,,,560,0112-27d55a5f-82f8-4b35-8dcc-09682c146afd.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
113,1715201005U,1,ALT EMPORDA,5,1,133,123,9,46,237,20,27,5,,,2,,,,,,,785,0113-059fb008-3c78-4e0e-8741-f25066155d1a.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
114,1715201006A,1,ALT EMPORDA,3,0,71,100,11,62,200,26,23,5,,0,0,,,,,,,632,0114-1516975464-b21817ab6a161a94748c6b3bb57cc8e7-5371bdba7b032618aef44efdbb5b2879.jpg,1,1,CDR,2018-01-26 15:04:24,altempor01,1,1
115,1715201006B,1,ALT EMPORDA,1,3,88,92,7,59,169,29,28,6,,2,0,,,,,,,628,0115-1516975441-20bb6246245b18e17135320ba9e5e501-1ff849a92af45cd31c43b2498fd9474a.jpg,1,1,CDR,2018-01-26 15:04:01,altempor01,1,1
116,1715202001A,1,ALT EMPORDA,1,3,68,120,8,46,88,9,12,1,,,,,,,,,,483,0116-f167f9e3-a817-42fc-b0a7-5c903222b3e9.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
117,1715202001B,1,ALT EMPORDA,2,,60,104,7,39,75,11,13,1,,1,,,,,,,,436,0117-59c9d428-6515-48b2-996c-cc35c5e6a7a7.jpg,1,1,ANC,2017-12-31 10:01:15,,1,1
