IDMESA,CODI_MESA,COD_PROV,CODI_LOCAL,MUNICIPI,COMARCA,G35,CODI_MUNICIPI,DISTRICTE,SECCIO,SUBSECCIO,MESA,LLETRA_INICI,LLETRA_FI,CODI_LOCAL_ORIGEN,CODI_LOCAL,LOCAL_ELECTORAL_ADRECA,LOCAL_ELECTORAL,ADRECA,IDMESAMESESCOLA,NOSEQUEES
2534,0824504011B,8,c967,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,4,11,,B,L,Z,82450005,c967,ESCOLA FRAY LUIS DE LEON ; C SANT JOAQUIM 91,ESCOLA FRAY LUIS DE LEON,C SANT JOAQUIM 91,2534#0824504011B#ESCOLA FRAY LUIS DE LEON ; C SANT JOAQUIM 91,
2535,0824504012A,8,c967,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,4,12,,A,A,K,82450005,c967,ESCOLA FRAY LUIS DE LEON ; C SANT JOAQUIM 91,ESCOLA FRAY LUIS DE LEON,C SANT JOAQUIM 91,2535#0824504012A#ESCOLA FRAY LUIS DE LEON ; C SANT JOAQUIM 91,
2536,0824504012B,8,c967,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,4,12,,B,L,Z,82450005,c967,ESCOLA FRAY LUIS DE LEON ; C SANT JOAQUIM 91,ESCOLA FRAY LUIS DE LEON,C SANT JOAQUIM 91,2536#0824504012B#ESCOLA FRAY LUIS DE LEON ; C SANT JOAQUIM 91,
2537,0824504013A,8,c109,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,4,13,,A,A,K,82450026,c109,BIBLIOTECA CAN PEIXAUET ; AV GENERALITAT 98,BIBLIOTECA CAN PEIXAUET,AV GENERALITAT 98,2537#0824504013A#BIBLIOTECA CAN PEIXAUET ; AV GENERALITAT 98,
2538,0824504013B,8,c109,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,4,13,,B,L,Z,82450026,c109,BIBLIOTECA CAN PEIXAUET ; AV GENERALITAT 98,BIBLIOTECA CAN PEIXAUET,AV GENERALITAT 98,2538#0824504013B#BIBLIOTECA CAN PEIXAUET ; AV GENERALITAT 98,
2539,0824504014A,8,c967,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,4,14,,A,A,F,82450005,c967,ESCOLA FRAY LUIS DE LEON ; C SANT JOAQUIM 91,ESCOLA FRAY LUIS DE LEON,C SANT JOAQUIM 91,2539#0824504014A#ESCOLA FRAY LUIS DE LEON ; C SANT JOAQUIM 91,
2540,0824504014B,8,c967,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,4,14,,B,G,M,82450005,c967,ESCOLA FRAY LUIS DE LEON ; C SANT JOAQUIM 91,ESCOLA FRAY LUIS DE LEON,C SANT JOAQUIM 91,2540#0824504014B#ESCOLA FRAY LUIS DE LEON ; C SANT JOAQUIM 91,
2541,0824504014C,8,c967,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,4,14,,C,N,Z,82450005,c967,ESCOLA FRAY LUIS DE LEON ; C SANT JOAQUIM 91,ESCOLA FRAY LUIS DE LEON,C SANT JOAQUIM 91,2541#0824504014C#ESCOLA FRAY LUIS DE LEON ; C SANT JOAQUIM 91,
2542,0824504015A,8,c967,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,4,15,,A,A,K,82450005,c967,ESCOLA FRAY LUIS DE LEON ; C SANT JOAQUIM 91,ESCOLA FRAY LUIS DE LEON,C SANT JOAQUIM 91,2542#0824504015A#ESCOLA FRAY LUIS DE LEON ; C SANT JOAQUIM 91,
2543,0824504015B,8,c967,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,4,15,,B,L,Z,82450005,c967,ESCOLA FRAY LUIS DE LEON ; C SANT JOAQUIM 91,ESCOLA FRAY LUIS DE LEON,C SANT JOAQUIM 91,2543#0824504015B#ESCOLA FRAY LUIS DE LEON ; C SANT JOAQUIM 91,
2544,0824504016A,8,c109,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,4,16,,A,A,K,82450026,c109,BIBLIOTECA CAN PEIXAUET ; AV GENERALITAT 98,BIBLIOTECA CAN PEIXAUET,AV GENERALITAT 98,2544#0824504016A#BIBLIOTECA CAN PEIXAUET ; AV GENERALITAT 98,
2545,0824504016B,8,c109,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,4,16,,B,L,Z,82450026,c109,BIBLIOTECA CAN PEIXAUET ; AV GENERALITAT 98,BIBLIOTECA CAN PEIXAUET,AV GENERALITAT 98,2545#0824504016B#BIBLIOTECA CAN PEIXAUET ; AV GENERALITAT 98,
2546,0824505001U,8,c959,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,1,,U,A,Z,82450004,c959,ESCOLA FERRAN DE SAGARRA ; C MOSSEN JACINT VERDAGUER 16,ESCOLA FERRAN DE SAGARRA,C MOSSEN JACINT VERDAGUER 16,2546#0824505001U#ESCOLA FERRAN DE SAGARRA ; C MOSSEN JACINT VERDAGUER 16,
2547,0824505002A,8,c867,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,2,,A,A,K,82450003,c867,ESCOLA BANUS ; AV BANUS 68,ESCOLA BANUS,AV BANUS 68,2547#0824505002A#ESCOLA BANUS ; AV BANUS 68,
2548,0824505002B,8,c867,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,2,,B,L,Z,82450003,c867,ESCOLA BANUS ; AV BANUS 68,ESCOLA BANUS,AV BANUS 68,2548#0824505002B#ESCOLA BANUS ; AV BANUS 68,
2549,0824505003U,8,c867,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,3,,U,A,Z,82450003,c867,ESCOLA BANUS ; AV BANUS 68,ESCOLA BANUS,AV BANUS 68,2549#0824505003U#ESCOLA BANUS ; AV BANUS 68,
2550,0824505004U,8,c867,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,4,,U,A,Z,82450003,c867,ESCOLA BANUS ; AV BANUS 68,ESCOLA BANUS,AV BANUS 68,2550#0824505004U#ESCOLA BANUS ; AV BANUS 68,
2551,0824505005A,8,c1215,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,5,,A,A,K,82450016,c1215,ESCOLA TANIT ; C PIRINEUS 5,ESCOLA TANIT,C PIRINEUS 5,2551#0824505005A#ESCOLA TANIT ; C PIRINEUS 5,
2552,0824505005B,8,c1215,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,5,,B,L,Z,82450016,c1215,ESCOLA TANIT ; C PIRINEUS 5,ESCOLA TANIT,C PIRINEUS 5,2552#0824505005B#ESCOLA TANIT ; C PIRINEUS 5,
2553,0824505006U,8,c867,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,6,,U,A,Z,82450003,c867,ESCOLA BANUS ; AV BANUS 68,ESCOLA BANUS,AV BANUS 68,2553#0824505006U#ESCOLA BANUS ; AV BANUS 68,
2554,0824505007A,8,c867,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,7,,A,A,K,82450003,c867,ESCOLA BANUS ; AV BANUS 68,ESCOLA BANUS,AV BANUS 68,2554#0824505007A#ESCOLA BANUS ; AV BANUS 68,
2555,0824505007B,8,c867,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,7,,B,L,Z,82450003,c867,ESCOLA BANUS ; AV BANUS 68,ESCOLA BANUS,AV BANUS 68,2555#0824505007B#ESCOLA BANUS ; AV BANUS 68,
2556,0824505008U,8,c1215,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,8,,U,A,Z,82450016,c1215,ESCOLA TANIT ; C PIRINEUS 5,ESCOLA TANIT,C PIRINEUS 5,2556#0824505008U#ESCOLA TANIT ; C PIRINEUS 5,
2557,0824505009U,8,c1215,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,9,,U,A,Z,82450016,c1215,ESCOLA TANIT ; C PIRINEUS 5,ESCOLA TANIT,C PIRINEUS 5,2557#0824505009U#ESCOLA TANIT ; C PIRINEUS 5,
2558,0824505010U,8,c1215,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,10,,U,A,Z,82450016,c1215,ESCOLA TANIT ; C PIRINEUS 5,ESCOLA TANIT,C PIRINEUS 5,2558#0824505010U#ESCOLA TANIT ; C PIRINEUS 5,
2559,0824505011A,8,c1215,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,11,,A,A,K,82450016,c1215,ESCOLA TANIT ; C PIRINEUS 5,ESCOLA TANIT,C PIRINEUS 5,2559#0824505011A#ESCOLA TANIT ; C PIRINEUS 5,
2560,0824505011B,8,c1215,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,11,,B,L,Z,82450016,c1215,ESCOLA TANIT ; C PIRINEUS 5,ESCOLA TANIT,C PIRINEUS 5,2560#0824505011B#ESCOLA TANIT ; C PIRINEUS 5,
2561,0824505012U,8,c1215,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,12,,U,A,Z,82450016,c1215,ESCOLA TANIT ; C PIRINEUS 5,ESCOLA TANIT,C PIRINEUS 5,2561#0824505012U#ESCOLA TANIT ; C PIRINEUS 5,
2562,0824505013A,8,c1215,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,13,,A,A,K,82450016,c1215,ESCOLA TANIT ; C PIRINEUS 5,ESCOLA TANIT,C PIRINEUS 5,2562#0824505013A#ESCOLA TANIT ; C PIRINEUS 5,
2563,0824505013B,8,c1215,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,13,,B,L,Z,82450016,c1215,ESCOLA TANIT ; C PIRINEUS 5,ESCOLA TANIT,C PIRINEUS 5,2563#0824505013B#ESCOLA TANIT ; C PIRINEUS 5,
2564,0824505014A,8,c109,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,14,,A,A,K,82450026,c109,BIBLIOTECA CAN PEIXAUET ; AV GENERALITAT 98,BIBLIOTECA CAN PEIXAUET,AV GENERALITAT 98,2564#0824505014A#BIBLIOTECA CAN PEIXAUET ; AV GENERALITAT 98,
2565,0824505014B,8,c109,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,14,,B,L,Z,82450026,c109,BIBLIOTECA CAN PEIXAUET ; AV GENERALITAT 98,BIBLIOTECA CAN PEIXAUET,AV GENERALITAT 98,2565#0824505014B#BIBLIOTECA CAN PEIXAUET ; AV GENERALITAT 98,
2566,0824505015A,8,c560,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,15,,A,A,K,82450019,c560,CENTRE CIVIC DEL RAVAL ; C MONTURIOL 20,CENTRE CIVIC DEL RAVAL,C MONTURIOL 20,2566#0824505015A#CENTRE CIVIC DEL RAVAL ; C MONTURIOL 20,
2567,0824505015B,8,c560,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,15,,B,L,Z,82450019,c560,CENTRE CIVIC DEL RAVAL ; C MONTURIOL 20,CENTRE CIVIC DEL RAVAL,C MONTURIOL 20,2567#0824505015B#CENTRE CIVIC DEL RAVAL ; C MONTURIOL 20,
2568,0824505016U,8,c560,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,16,,U,A,Z,82450019,c560,CENTRE CIVIC DEL RAVAL ; C MONTURIOL 20,CENTRE CIVIC DEL RAVAL,C MONTURIOL 20,2568#0824505016U#CENTRE CIVIC DEL RAVAL ; C MONTURIOL 20,
2569,0824505017U,8,c1215,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,17,,U,A,Z,82450016,c1215,ESCOLA TANIT ; C PIRINEUS 5,ESCOLA TANIT,C PIRINEUS 5,2569#0824505017U#ESCOLA TANIT ; C PIRINEUS 5,
2570,0824505018A,8,c560,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,18,,A,A,K,82450019,c560,CENTRE CIVIC DEL RAVAL ; C MONTURIOL 20,CENTRE CIVIC DEL RAVAL,C MONTURIOL 20,2570#0824505018A#CENTRE CIVIC DEL RAVAL ; C MONTURIOL 20,
2571,0824505018B,8,c560,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,18,,B,L,Z,82450019,c560,CENTRE CIVIC DEL RAVAL ; C MONTURIOL 20,CENTRE CIVIC DEL RAVAL,C MONTURIOL 20,2571#0824505018B#CENTRE CIVIC DEL RAVAL ; C MONTURIOL 20,
2572,0824505019U,8,c301,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,5,19,,U,A,Z,82450001,c301,CASAL MPAL.DELS SAFARETJOS ; AV GENERALITAT 222,CASAL MPAL.DELS SAFARETJOS,AV GENERALITAT 222,2572#0824505019U#CASAL MPAL.DELS SAFARETJOS ; AV GENERALITAT 222,
2573,0824506001U,8,c1074,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,1,,U,A,Z,82450009,c1074,ESCOLA MERCE RODOREDA ; C MILA I FONTANALS 59,ESCOLA MERCE RODOREDA,C MILA I FONTANALS 59,2573#0824506001U#ESCOLA MERCE RODOREDA ; C MILA I FONTANALS 59,
2574,0824506002U,8,c1192,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,2,,U,A,Z,82450013,c1192,ESCOLA SALVAT PAPASSEIT ; C DOCTOR PAGES 7,ESCOLA SALVAT PAPASSEIT,C DOCTOR PAGES 7,2574#0824506002U#ESCOLA SALVAT PAPASSEIT ; C DOCTOR PAGES 7,
2575,0824506003A,8,c869,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,3,,A,A,K,82450018,c869,ESCOLA BEETHOVEN ; C WAGNER 16,ESCOLA BEETHOVEN,C WAGNER 16,2575#0824506003A#ESCOLA BEETHOVEN ; C WAGNER 16,
2576,0824506003B,8,c869,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,3,,B,L,Z,82450018,c869,ESCOLA BEETHOVEN ; C WAGNER 16,ESCOLA BEETHOVEN,C WAGNER 16,2576#0824506003B#ESCOLA BEETHOVEN ; C WAGNER 16,
2577,0824506004A,8,c869,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,4,,A,A,K,82450018,c869,ESCOLA BEETHOVEN ; C WAGNER 16,ESCOLA BEETHOVEN,C WAGNER 16,2577#0824506004A#ESCOLA BEETHOVEN ; C WAGNER 16,
2578,0824506004B,8,c869,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,4,,B,L,Z,82450018,c869,ESCOLA BEETHOVEN ; C WAGNER 16,ESCOLA BEETHOVEN,C WAGNER 16,2578#0824506004B#ESCOLA BEETHOVEN ; C WAGNER 16,
2579,0824506005U,8,c869,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,5,,U,A,Z,82450018,c869,ESCOLA BEETHOVEN ; C WAGNER 16,ESCOLA BEETHOVEN,C WAGNER 16,2579#0824506005U#ESCOLA BEETHOVEN ; C WAGNER 16,
2580,0824506006U,8,c869,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,6,,U,A,Z,82450018,c869,ESCOLA BEETHOVEN ; C WAGNER 16,ESCOLA BEETHOVEN,C WAGNER 16,2580#0824506006U#ESCOLA BEETHOVEN ; C WAGNER 16,
2581,0824506007U,8,c1074,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,7,,U,A,Z,82450009,c1074,ESCOLA MERCE RODOREDA ; C MILA I FONTANALS 59,ESCOLA MERCE RODOREDA,C MILA I FONTANALS 59,2581#0824506007U#ESCOLA MERCE RODOREDA ; C MILA I FONTANALS 59,
2582,0824506008A,8,c1074,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,8,,A,A,K,82450009,c1074,ESCOLA MERCE RODOREDA ; C MILA I FONTANALS 59,ESCOLA MERCE RODOREDA,C MILA I FONTANALS 59,2582#0824506008A#ESCOLA MERCE RODOREDA ; C MILA I FONTANALS 59,
2583,0824506008B,8,c1074,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,8,,B,L,Z,82450009,c1074,ESCOLA MERCE RODOREDA ; C MILA I FONTANALS 59,ESCOLA MERCE RODOREDA,C MILA I FONTANALS 59,2583#0824506008B#ESCOLA MERCE RODOREDA ; C MILA I FONTANALS 59,
2584,0824506009U,8,c869,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,9,,U,A,Z,82450018,c869,ESCOLA BEETHOVEN ; C WAGNER 16,ESCOLA BEETHOVEN,C WAGNER 16,2584#0824506009U#ESCOLA BEETHOVEN ; C WAGNER 16,
2585,0824506010U,8,c869,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,10,,U,A,Z,82450018,c869,ESCOLA BEETHOVEN ; C WAGNER 16,ESCOLA BEETHOVEN,C WAGNER 16,2585#0824506010U#ESCOLA BEETHOVEN ; C WAGNER 16,
2586,0824506011U,8,c869,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,11,,U,A,Z,82450018,c869,ESCOLA BEETHOVEN ; C WAGNER 16,ESCOLA BEETHOVEN,C WAGNER 16,2586#0824506011U#ESCOLA BEETHOVEN ; C WAGNER 16,
2587,0824506012U,8,c869,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,12,,U,A,Z,82450018,c869,ESCOLA BEETHOVEN ; C WAGNER 16,ESCOLA BEETHOVEN,C WAGNER 16,2587#0824506012U#ESCOLA BEETHOVEN ; C WAGNER 16,
2588,0824506013U,8,c869,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,13,,U,A,Z,82450018,c869,ESCOLA BEETHOVEN ; C WAGNER 16,ESCOLA BEETHOVEN,C WAGNER 16,2588#0824506013U#ESCOLA BEETHOVEN ; C WAGNER 16,
2589,0824506014A,8,c1074,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,14,,A,A,K,82450009,c1074,ESCOLA MERCE RODOREDA ; C MILA I FONTANALS 59,ESCOLA MERCE RODOREDA,C MILA I FONTANALS 59,2589#0824506014A#ESCOLA MERCE RODOREDA ; C MILA I FONTANALS 59,
2590,0824506014B,8,c1074,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,14,,B,L,Z,82450009,c1074,ESCOLA MERCE RODOREDA ; C MILA I FONTANALS 59,ESCOLA MERCE RODOREDA,C MILA I FONTANALS 59,2590#0824506014B#ESCOLA MERCE RODOREDA ; C MILA I FONTANALS 59,
2591,0824506015U,8,c869,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,15,,U,A,Z,82450018,c869,ESCOLA BEETHOVEN ; C WAGNER 16,ESCOLA BEETHOVEN,C WAGNER 16,2591#0824506015U#ESCOLA BEETHOVEN ; C WAGNER 16,
2592,0824506016U,8,c869,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,16,,U,A,Z,82450018,c869,ESCOLA BEETHOVEN ; C WAGNER 16,ESCOLA BEETHOVEN,C WAGNER 16,2592#0824506016U#ESCOLA BEETHOVEN ; C WAGNER 16,
2593,0824506017U,8,c1074,SANTA COLOMA DE GRAMENET,BARCELONES,BARCELONES3G35,245,6,17,,U,A,Z,82450009,c1074,ESCOLA MERCE RODOREDA ; C MILA I FONTANALS 59,ESCOLA MERCE RODOREDA,C MILA I FONTANALS 59,2593#0824506017U#ESCOLA MERCE RODOREDA ; C MILA I FONTANALS 59,
2594,0801901001U,8,c1108,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,1,,U,A,Z,80190382,c1108,ESCOLA OFICIAL D'IDIOMES DRASSANES ; C ARC DEL TEATRE (L') 24,ESCOLA OFICIAL D'IDIOMES DRASSANES,C ARC DEL TEATRE (L') 24,2594#0801901001U#ESCOLA OFICIAL D'IDIOMES DRASSANES ; C ARC DEL TEATRE (L') 24,
2595,0801901002U,8,c1108,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,2,,U,A,Z,80190382,c1108,ESCOLA OFICIAL D'IDIOMES DRASSANES ; C ARC DEL TEATRE (L') 24,ESCOLA OFICIAL D'IDIOMES DRASSANES,C ARC DEL TEATRE (L') 24,2595#0801901002U#ESCOLA OFICIAL D'IDIOMES DRASSANES ; C ARC DEL TEATRE (L') 24,
2596,0801901003A,8,c1108,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,3,,A,A,L,80190382,c1108,ESCOLA OFICIAL D'IDIOMES DRASSANES ; C ARC DEL TEATRE (L') 24,ESCOLA OFICIAL D'IDIOMES DRASSANES,C ARC DEL TEATRE (L') 24,2596#0801901003A#ESCOLA OFICIAL D'IDIOMES DRASSANES ; C ARC DEL TEATRE (L') 24,
2597,0801901003B,8,c1108,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,3,,B,M,Z,80190382,c1108,ESCOLA OFICIAL D'IDIOMES DRASSANES ; C ARC DEL TEATRE (L') 24,ESCOLA OFICIAL D'IDIOMES DRASSANES,C ARC DEL TEATRE (L') 24,2597#0801901003B#ESCOLA OFICIAL D'IDIOMES DRASSANES ; C ARC DEL TEATRE (L') 24,
2598,0801901004A,8,c358,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,4,,A,A,L,80190312,c358,CEIP COLLASO I GIL ; C SANT PAU 101,CEIP COLLASO I GIL,C SANT PAU 101,2598#0801901004A#CEIP COLLASO I GIL ; C SANT PAU 101,
2599,0801901004B,8,c358,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,4,,B,M,Z,80190312,c358,CEIP COLLASO I GIL ; C SANT PAU 101,CEIP COLLASO I GIL,C SANT PAU 101,2599#0801901004B#CEIP COLLASO I GIL ; C SANT PAU 101,
2600,0801901005U,8,c1108,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,5,,U,A,Z,80190382,c1108,ESCOLA OFICIAL D'IDIOMES DRASSANES ; C ARC DEL TEATRE (L') 24,ESCOLA OFICIAL D'IDIOMES DRASSANES,C ARC DEL TEATRE (L') 24,2600#0801901005U#ESCOLA OFICIAL D'IDIOMES DRASSANES ; C ARC DEL TEATRE (L') 24,
2601,0801901006U,8,c1307,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,6,,U,A,Z,80190313,c1307,I.M. CULTURA BARCELONA (VIRREINA) ; C RAMBLA (LA) 99,I.M. CULTURA BARCELONA (VIRREINA),C RAMBLA (LA) 99,2601#0801901006U#I.M. CULTURA BARCELONA (VIRREINA) ; C RAMBLA (LA) 99,
2602,0801901007U,8,c1307,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,7,,U,A,Z,80190313,c1307,I.M. CULTURA BARCELONA (VIRREINA) ; C RAMBLA (LA) 99,I.M. CULTURA BARCELONA (VIRREINA),C RAMBLA (LA) 99,2602#0801901007U#I.M. CULTURA BARCELONA (VIRREINA) ; C RAMBLA (LA) 99,
2603,0801901008A,8,c143,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,8,,A,A,L,80190003,c143,C.B. FOLCH I TORRES ; C REINA AMALIA 31,C.B. FOLCH I TORRES,C REINA AMALIA 31,2603#0801901008A#C.B. FOLCH I TORRES ; C REINA AMALIA 31,
2604,0801901008B,8,c143,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,8,,B,M,Z,80190003,c143,C.B. FOLCH I TORRES ; C REINA AMALIA 31,C.B. FOLCH I TORRES,C REINA AMALIA 31,2604#0801901008B#C.B. FOLCH I TORRES ; C REINA AMALIA 31,
2605,0801901009U,8,c143,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,9,,U,A,Z,80190003,c143,C.B. FOLCH I TORRES ; C REINA AMALIA 31,C.B. FOLCH I TORRES,C REINA AMALIA 31,2605#0801901009U#C.B. FOLCH I TORRES ; C REINA AMALIA 31,
2606,0801901010U,8,c143,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,10,,U,A,Z,80190003,c143,C.B. FOLCH I TORRES ; C REINA AMALIA 31,C.B. FOLCH I TORRES,C REINA AMALIA 31,2606#0801901010U#C.B. FOLCH I TORRES ; C REINA AMALIA 31,
2607,0801901011U,8,c1248,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,11,,U,A,Z,80190217,c1248,ESCOLES PIES DE SANT ANTONI ; RONDA SANT PAU 72,ESCOLES PIES DE SANT ANTONI,RONDA SANT PAU 72,2607#0801901011U#ESCOLES PIES DE SANT ANTONI ; RONDA SANT PAU 72,
2608,0801901012U,8,c1248,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,12,,U,A,Z,80190217,c1248,ESCOLES PIES DE SANT ANTONI ; RONDA SANT PAU 72,ESCOLES PIES DE SANT ANTONI,RONDA SANT PAU 72,2608#0801901012U#ESCOLES PIES DE SANT ANTONI ; RONDA SANT PAU 72,
2609,0801901013U,8,c1248,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,13,,U,A,Z,80190217,c1248,ESCOLES PIES DE SANT ANTONI ; RONDA SANT PAU 72,ESCOLES PIES DE SANT ANTONI,RONDA SANT PAU 72,2609#0801901013U#ESCOLES PIES DE SANT ANTONI ; RONDA SANT PAU 72,
2610,0801901014U,8,c616,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,14,,U,A,Z,80190035,c616,CENTRE CULTURA CONTEMPORÀNIA (CCCB) ; C VALLDONZELLA 21,CENTRE CULTURA CONTEMPORÀNIA (CCCB),C VALLDONZELLA 21,2610#0801901014U#CENTRE CULTURA CONTEMPORÀNIA (CCCB) ; C VALLDONZELLA 21,
2611,0801901015U,8,c1248,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,15,,U,A,Z,80190217,c1248,ESCOLES PIES DE SANT ANTONI ; RONDA SANT PAU 72,ESCOLES PIES DE SANT ANTONI,RONDA SANT PAU 72,2611#0801901015U#ESCOLES PIES DE SANT ANTONI ; RONDA SANT PAU 72,
2612,0801901016U,8,c616,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,16,,U,A,Z,80190035,c616,CENTRE CULTURA CONTEMPORÀNIA (CCCB) ; C VALLDONZELLA 21,CENTRE CULTURA CONTEMPORÀNIA (CCCB),C VALLDONZELLA 21,2612#0801901016U#CENTRE CULTURA CONTEMPORÀNIA (CCCB) ; C VALLDONZELLA 21,
2613,0801901017U,8,c616,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,17,,U,A,Z,80190035,c616,CENTRE CULTURA CONTEMPORÀNIA (CCCB) ; C VALLDONZELLA 21,CENTRE CULTURA CONTEMPORÀNIA (CCCB),C VALLDONZELLA 21,2613#0801901017U#CENTRE CULTURA CONTEMPORÀNIA (CCCB) ; C VALLDONZELLA 21,
2614,0801901018U,8,c616,BARCELONA,CIUTAT VELLA,BCNCIUTAT1G35,19,1,18,,U,A,Z,80190035,c616,CENTRE CULTURA CONTEMPORÀNIA (CCCB) ; C VALLDONZELLA 21,CENTRE CULTURA CONTEMPORÀNIA (CCCB),C VALLDONZELLA 21,2614#0801901018U#CENTRE CULTURA CONTEMPORÀNIA (CCCB) ; C VALLDONZELLA 21,
