IDMESA,CODI_MESA,COD_PROV,CODI_LOCAL,MUNICIPI,COMARCA,G35,CODI_MUNICIPI,DISTRICTE,SECCIO,SUBSECCIO,MESA,LLETRA_INICI,LLETRA_FI,CODI_LOCAL_ORIGEN,CODI_LOCAL,LOCAL_ELECTORAL_ADRECA,LOCAL_ELECTORAL,ADRECA,IDMESAMESESCOLA,NOSEQUEES
16,1704201001U,17,c1692,CAPMANY,ALT EMPORDA,ALTEMPORDA1G35,42,1,1,,U,A,Z,,c1692,AJUNTAMENT DE CAPMANY ; PLAÇA FORT (DEL) 1,AJUNTAMENT DE CAPMANY,PLAÇA FORT (DEL) 1,16#1704201001U#AJUNTAMENT DE CAPMANY ; PLAÇA FORT (DEL) 1,
17,1704701001A,17,c1700,CASTELLÓ D'EMPÚRIES,ALT EMPORDA,ALTEMPORDA1G35,47,1,1,,A,A,K,,c1700,SALA MUNICIPAL ; PLAÇA JOC DE LA PILOTA 1,SALA MUNICIPAL,PLAÇA JOC DE LA PILOTA 1,17#1704701001A#SALA MUNICIPAL ; PLAÇA JOC DE LA PILOTA 1,
18,1704701001B,17,c1700,CASTELLÓ D'EMPÚRIES,ALT EMPORDA,ALTEMPORDA1G35,47,1,1,,B,L,Z,,c1700,SALA MUNICIPAL ; PLAÇA JOC DE LA PILOTA 1,SALA MUNICIPAL,PLAÇA JOC DE LA PILOTA 1,18#1704701001B#SALA MUNICIPAL ; PLAÇA JOC DE LA PILOTA 1,
19,1704701002A,17,c1700,CASTELLÓ D'EMPÚRIES,ALT EMPORDA,ALTEMPORDA1G35,47,1,2,,A,A,K,,c1700,SALA MUNICIPAL ; PLAÇA JOC DE LA PILOTA 1,SALA MUNICIPAL,PLAÇA JOC DE LA PILOTA 1,19#1704701002A#SALA MUNICIPAL ; PLAÇA JOC DE LA PILOTA 1,
20,1704701002B,17,c1700,CASTELLÓ D'EMPÚRIES,ALT EMPORDA,ALTEMPORDA1G35,47,1,2,,B,L,Z,,c1700,SALA MUNICIPAL ; PLAÇA JOC DE LA PILOTA 1,SALA MUNICIPAL,PLAÇA JOC DE LA PILOTA 1,20#1704701002B#SALA MUNICIPAL ; PLAÇA JOC DE LA PILOTA 1,
21,1704701003A,17,c1701,CASTELLÓ D'EMPÚRIES,ALT EMPORDA,ALTEMPORDA1G35,47,1,3,,A,A,K,,c1701,CENTRE CIVIC D'EMPURIABRAVA ; CARRE BADIA-GRAN RESERVA S/N - EMPURIABRAVA,CENTRE CIVIC D'EMPURIABRAVA,CARRE BADIA-GRAN RESERVA S/N - EMPURIABRAVA,21#1704701003A#CENTRE CIVIC D'EMPURIABRAVA ; CARRE BADIA-GRAN RESERVA S/N - EMPURIABRAVA,
22,1704701003B,17,c1701,CASTELLÓ D'EMPÚRIES,ALT EMPORDA,ALTEMPORDA1G35,47,1,3,,B,L,Z,,c1701,CENTRE CIVIC D'EMPURIABRAVA ; CARRE BADIA-GRAN RESERVA S/N  EMPURIABRAVA,CENTRE CIVIC D'EMPURIABRAVA,CARRE BADIA-GRAN RESERVA S/N  EMPURIABRAVA,22#1704701003B#CENTRE CIVIC D'EMPURIABRAVA ; CARRE BADIA-GRAN RESERVA S/N  EMPURIABRAVA,
23,1704701004A,17,c1702,CASTELLÓ D'EMPÚRIES,ALT EMPORDA,ALTEMPORDA1G35,47,1,4,,A,A,L,,c1702,CENTRE DE SERVEIS D'EMPURIABRAVA ; CARRE PUIGMAL 1  EMPURIABRAVA,CENTRE DE SERVEIS D'EMPURIABRAVA,CARRE PUIGMAL 1  EMPURIABRAVA,23#1704701004A#CENTRE DE SERVEIS D'EMPURIABRAVA ; CARRE PUIGMAL 1  EMPURIABRAVA,
24,1704701004B,17,c1702,CASTELLÓ D'EMPÚRIES,ALT EMPORDA,ALTEMPORDA1G35,47,1,4,,B,M,Z,,c1702,CENTRE DE SERVEIS D'EMPURIABRAVA ; CARRE PUIGMAL 1  EMPURIABRAVA,CENTRE DE SERVEIS D'EMPURIABRAVA,CARRE PUIGMAL 1  EMPURIABRAVA,24#1704701004B#CENTRE DE SERVEIS D'EMPURIABRAVA ; CARRE PUIGMAL 1  EMPURIABRAVA,
25,1705101001U,17,c1708,CISTELLA,ALT EMPORDA,ALTEMPORDA1G35,51,1,1,,U,A,Z,,c1708,AJUNTAMENT DE CISTELLA ; PLAÇA MAJOR 4,AJUNTAMENT DE CISTELLA,PLAÇA MAJOR 4,25#1705101001U#AJUNTAMENT DE CISTELLA ; PLAÇA MAJOR 4,
